Date,Narration,Voucher Type,Debit,Credit,Amount,Bank Ledger,Contra Ledger,Balance,Reference
04-04-2025,"NEFTDR-CBIN0MPDCAQ-MANDISHULK KHATA-NE TBANK,MUM-HDFCN52025040457320549-BILL",Payment,10000.00,,10000.00,H D F C Bank Jhabua 50200060244460,A,399356.48,HDFCN52025040457326972
05-04-2025,"NEFTDR-CBIN0MPDCAQ-NIRASHRITSHULK KHAT A-NETBANK,MUM-HDFCN52025040457326972-NI RAAHRIT",Receipt,,2939.20,2939.20,H D F C Bank Jhabua 50200060244460,A,402295.68,UTIBN62025040580668193
06-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025040580668,Receipt,,8546.00,8546.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,410841.68,UTIBN62025040691815056
07-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025040691815,Receipt,,1165.00,1165.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,412006.68,UTIBN62025040701306498
07-04-2025,EMI801020320CHQS80102032000210425801,Payment,54498.00,,54498.00,H D F C Bank Jhabua 50200060244460,A,357508.68,000000000000000
08-04-2025,020320,Receipt,,2350.00,2350.00,H D F C Bank Jhabua 50200060244460,A,359858.68,UTIBN62025040813336589
08-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025040813336 50200016930119-TPT-BILL-GURUJITRADINGC OMPANY,Payment,7080.00,,7080.00,H D F C Bank Jhabua 50200060244460,Guruji Trading Comp.Jobat,352778.68,0000000206616596
09-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025040925945,Receipt,,975.00,975.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,353753.68,UTIBN62025040925945229
10-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025041038338,Receipt,,52070.00,52070.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,405823.68,UTIBN62025041038338884
10-04-2025,IMPS-510019865189-RAPIPAYFINTECHPRIVAT E LIMITED-YESB-XXXXXXXXXXX0050-500000690 12704STLMNT,Receipt,,1.00,1.00,H D F C Bank Jhabua 50200060244460,A,405824.68,0000510019865189
10-04-2025,IMPS-510019879767-RAPIPAYFINTECHPVTLT D-AIRP-XXXXXX1825-IMPSTRANSACTION,Receipt,,5000.00,5000.00,H D F C Bank Jhabua 50200060244460,A,410824.68,0000510019879767
10-04-2025,IMPS-510019881322-RAPIPAYFINTECHPVTLT D-AIRP-XXXXXX1825-IMPSTRANSACTION,Receipt,,5000.00,5000.00,H D F C Bank Jhabua 50200060244460,A,415824.68,0000510019881322
10-04-2025,IMPS-510019881673-RAPIPAYFINTECHPVTLT D-AIRP-XXXXXX1825-IMPSTRANSACTION,Receipt,,5000.00,5000.00,H D F C Bank Jhabua 50200060244460,A,420824.68,0000510019881673
10-04-2025,IMPS-510019880198-RAPIPAYFINTECHPVTLT D-AIRP-XXXXXX1825-IMPSTRANSACTION,Receipt,,5000.00,5000.00,H D F C Bank Jhabua 50200060244460,A,425824.68,0000510019880198
10-04-2025,IMPS-510019882714-RAPIPAYFINTECHPVTLT,Receipt,,5000.00,5000.00,H D F C Bank Jhabua 50200060244460,A,430824.68,0000510019882714
10-04-2025,D-AIRP-XXXXXX1825-IMPSTRANSACTION,Receipt,,5000.00,5000.00,H D F C Bank Jhabua 50200060244460,A,435824.68,0000510019029608
10-04-2025,IMPS-510019029608-FINOPAYMENTSBANK 919726832070IN-FINO-XXXXXXX1993-IMPS TXN,Receipt,,5000.00,5000.00,H D F C Bank Jhabua 50200060244460,A,440824.68,0000510019029867
10-04-2025,IMPS-510019029867-FINOPAYMENTSBANK 919726832070IN-FINO-XXXXXXX1993-IMPS TXN,Receipt,,5000.00,5000.00,H D F C Bank Jhabua 50200060244460,A,445824.68,0000510019032465
10-04-2025,IMPS-510019032465-MANGILAL-FINO-XXXXXXX1 993-IMPSTXN,Receipt,,5000.00,5000.00,H D F C Bank Jhabua 50200060244460,Mangilal Ji,450824.68,0000510019032699
11-04-2025,IMPS-510019032699-FINOPAYMENTSBANK 919726832070IN-FINO-XXXXXXX1993-IMPS TXN,Receipt,,2409.00,2409.00,H D F C Bank Jhabua 50200060244460,A,453233.68,UTIBN62025041149863515
11-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025041149863,Receipt,,35225.00,35225.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,488458.68,0000000000824315
11-04-2025,CHQDEP-MICR-15-JHABUA:ADHIKSHIKA GOVTADIWASIKANYASENIORCH:STATE BAN KOFINDIA,Receipt,,34500.00,34500.00,H D F C Bank Jhabua 50200060244460,Adhikshak Govt. Adiwasi,522958.68,0000000000824316
11-04-2025,CHQDEP-MICR-15-JHABUA:ADHIKSHIKA GOVTADIWASIKANYASENIORCH:STATE BAN KOFINDIA,Receipt,,635800.00,635800.00,H D F C Bank Jhabua 50200060244460,Adhikshak Govt. Adiwasi,1158758.68,ICICR42025041100533434
11-04-2025,RTGSCR-ICIC0000011-GORDHANDASSOBHAG M AL-VIRENDRARATANLAL-ICICR42025041100533 434 SELF-CHQPAID-JOBAT,Contra,600000.00,,600000.00,H D F C Bank Jhabua 50200060244460,Cash,558758.68,0000000000000143
12-04-2025,UPI-PHONEPE-PHONEPE.PAYOUTS@AXISBANK-U B0001506-859326181025-F09M22566A6JALZHR,Receipt,,70.00,70.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,558828.68,TI 0000859326181025
13-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI,Receipt,,320.00,320.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,559148.68,UTIBN62025041373223103
14-04-2025,TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025041373223,Receipt,,2455.00,2455.00,H D F C Bank Jhabua 50200060244460,A,561603.68,UTIBN62025041483783847
15-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025041483783,Receipt,,29633.18,29633.18,H D F C Bank Jhabua 50200060244460,Phone Pyee,591236.86,UTIBN62025041595388932
15-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025041595388,Payment,500000.00,,500000.00,H D F C Bank Jhabua 50200060244460,A,91236.86,HDFCN52025041579548942
16-04-2025,"NEFTDR-BKID0009813-CHOUDHARY INTERPRISE -NETBANK,MUM-HDFCN52025041579548942-BIL L",Receipt,,340.00,340.00,H D F C Bank Jhabua 50200060244460,Choudhary Enterprises,91576.86,UTIBN62025041607280623
16-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025041607280,Receipt,,763740.00,763740.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,855316.86,ICICR42025041600502746
17-04-2025,RTGSCR-ICIC0000011-GORDHANDASSOBHAG M AL-VIRENDRARATANLAL-ICICR42025041600502 746,Receipt,,2700.00,2700.00,H D F C Bank Jhabua 50200060244460,A,858016.86,UTIBN62025041718995372
17-04-2025,GANDHI-UTIBN62025041718995,Payment,450000.00,,450000.00,H D F C Bank Jhabua 50200060244460,A,408016.86,0000000000000073
17-04-2025,SELF-CHQPAID-JOBAT SELF-CHQPAID-JOBAT,Contra,50000.00,,50000.00,H D F C Bank Jhabua 50200060244460,Cash,358016.86,0000000000000140
18-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025041830502,Receipt,,93391.00,93391.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,451407.86,UTIBN62025041830502814
19-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025041941264,Receipt,,1970.00,1970.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,453377.86,UTIBN62025041941264476
19-04-2025,RTGSCR-ICIC0000011-RAJENDRAKUMARSHAIT ANMAL KOTHARI-VIRENDRAKUMARRATANLALGANDH I-ICICR42025041900502194,Receipt,,500000.00,500000.00,H D F C Bank Jhabua 50200060244460,Rajendra Kumar Shetanmal Kothari Rajghad,953377.86,ICICR42025041900502194
19-04-2025,"NEFTDR-ICIC0004061-TULSITRADERS-NETBAN K,MUM-HDFCN52025041987102412-BILL",Payment,67000.00,,67000.00,H D F C Bank Jhabua 50200060244460,A,886377.86,HDFCN52025041987102412
20-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025042052609 ACHD-AXISBANK-6803726152083FF1F26ACF1,Receipt,,860.00,860.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,887237.86,UTIBN62025042052609793
20-04-2025,IMPS-511016323311-MANISHKOTHARIJHABUA 2-HDFC-XXXXXXXXXX8507-GSTCHALAN,Payment,35653.00,,35653.00,H D F C Bank Jhabua 50200060244460,Manish Kothari,851584.86,0000007399422519
20-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025042162223,Payment,110008.00,,110008.00,H D F C Bank Jhabua 50200060244460,A,741576.86,0000511016323311
21-04-2025,No Description,Receipt,,33840.00,33840.00,H D F C Bank Jhabua 50200060244460,A,775416.86,UTIBN62025042162223754
22-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI,Receipt,,13840.00,13840.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,789256.86,UTIBN62025042272673608
22-04-2025,TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025042272673,Payment,52340.00,,52340.00,H D F C Bank Jhabua 50200060244460,A,736916.86,HDFCN52025042290250010
23-04-2025,"NEFTDR-ICIC0004061-TULSITRADERS-NETBAN K,MUM-HDFCN52025042290250010-BILL",Receipt,,4840.00,4840.00,H D F C Bank Jhabua 50200060244460,A,741756.86,UTIBN62025042383296768
24-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025042383296,Receipt,,120.00,120.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,741876.86,UTIBN62025042494159741
24-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025042494159,Receipt,,413142.00,413142.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,1155018.86,ICICR42025042400518597
25-04-2025,RTGSCR-ICIC0000011-RAJENDRAKUMARSHAIT ANMAL KOTHARI-VIRENDRAKUMARRATANLALGANDH I-ICICR42025042400518597,Receipt,,3100.00,3100.00,H D F C Bank Jhabua 50200060244460,Rajendra Kumar Shetanmal Kothari Rajghad,1158118.86,UTIBN62025042504643657
25-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025042504643 SELF-CHQPAID-JOBAT SELF-CHQPAID-JOBAT,Contra,200000.00,,200000.00,H D F C Bank Jhabua 50200060244460,Cash,958118.86,0000000000000070
25-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL,Payment,450000.00,,450000.00,H D F C Bank Jhabua 50200060244460,A,508118.86,0000000000000072
26-04-2025,No Description,Receipt,,8055.00,8055.00,H D F C Bank Jhabua 50200060244460,A,516173.86,UTIBN62025042615115597
27-04-2025,GANDHI-UTIBN62025042615115,Receipt,,7915.00,7915.00,H D F C Bank Jhabua 50200060244460,A,524088.86,UTIBN62025042724593304
27-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025042724593,Payment,174780.00,,174780.00,H D F C Bank Jhabua 50200060244460,A,349308.86,HDFCN52025042797857442
28-04-2025,"NEFTDR-ICIC0004061-TULSITRADERS-NETBAN K,MUM-HDFCN52025042797857442-BILL",Receipt,,5150.00,5150.00,H D F C Bank Jhabua 50200060244460,A,354458.86,UTIBN62025042833314398
28-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025042833314,Receipt,,812000.00,812000.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,1166458.86,BKIDR52025042800966331
28-04-2025,RTGSCR-BKID0000200-SOUBHAGYATRADING CO MPANYBAGH-VIRENDRARATANLAL GANDHI-BKID R52025042800966331 SELF-CHQPAID-JOBAT,Contra,900000.00,,900000.00,H D F C Bank Jhabua 50200060244460,Cash,266458.86,0000000000000144
29-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025042943704,Receipt,,7050.00,7050.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,273508.86,UTIBN62025042943704093
30-04-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025043054012,Receipt,,16400.00,16400.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,289908.86,UTIBN62025043054012403
01-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK,Receipt,,430.00,430.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,290338.86,UTIBN62025050165343301
02-05-2025,UMARRATANLAL,Receipt,,2865.00,2865.00,H D F C Bank Jhabua 50200060244460,A,293203.86,UTIBN62025050275200956
03-05-2025,GANDHI-UTIBN62025050165343,Receipt,,18310.00,18310.00,H D F C Bank Jhabua 50200060244460,A,311513.86,UTIBN62025050385504238
03-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025050275200,Payment,250000.00,,250000.00,H D F C Bank Jhabua 50200060244460,A,61513.86,HDFCN52025050311004783
04-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025050385504,Receipt,,10605.00,10605.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,72118.86,UTIBN62025050495652511
04-05-2025,"NEFTDR-BKID0009813-CHOUDHARY INTERPRISE -NETBANK,MUM-HDFCN52025050311004783-BIL L",Payment,27361.00,,27361.00,H D F C Bank Jhabua 50200060244460,Choudhary Enterprises,44757.86,0000512409385318
05-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025050495652,Receipt,,13055.00,13055.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,57812.86,UTIBN62025050503997541
06-05-2025,IMPS-512409385318-BAJRANGNAMKEEN BHANDA RBAGH-HDFC-XXXXXXXXXX5120-BILL,Receipt,,6625.00,6625.00,H D F C Bank Jhabua 50200060244460,BAJRANG NAMKEEN BHANDAR BAGH,64437.86,UTIBN62025050614642362
07-05-2025,UMARRATANLAL,Receipt,,19930.00,19930.00,H D F C Bank Jhabua 50200060244460,A,84367.86,UTIBN62025050724901482
07-05-2025,GANDHI-UTIBN62025050614642,Payment,54498.00,,54498.00,H D F C Bank Jhabua 50200060244460,A,29869.86,000000000000000
07-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025050724901 EMI801020320CHQS80102032000310525801 020320,Receipt,,51644.00,51644.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,81513.86,ICICN42025050755070661
08-05-2025,NEFTCR-ICIC0SF0002-RAJENDRAKUMARSHAIT ANMAL KOTHARI-VIRENDRA-ICICN420250507550 70661,Receipt,,3790.00,3790.00,H D F C Bank Jhabua 50200060244460,Rajendra Kumar Shetanmal Kothari Rajghad,85303.86,UTIBN62025050835750623
09-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025050835750,Receipt,,770.00,770.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,86073.86,UTIBN62025050945966354
10-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025050945966,Receipt,,4490.00,4490.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,90563.86,UTIBN62025051056379234
11-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025051056379,Receipt,,9757.00,9757.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,100320.86,UTIBN62025051165681109
12-05-2025,GANDHI-UTIBN62025051165681,Receipt,,2050.00,2050.00,H D F C Bank Jhabua 50200060244460,A,102370.86,UTIBN62025051273966692
13-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025051273966,Receipt,,1445.00,1445.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,103815.86,UTIBN62025051383416953
13-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025051383416,Receipt,,800000.00,800000.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,903815.86,ICICR42025051300536878
14-05-2025,RTGSCR-ICIC0000011-RAJENDRAKUMARSHAIT ANMAL KOTHARI-VIRENDRAKUMARRATANLALGANDH I-ICICR42025051300536878,Receipt,,5580.00,5580.00,H D F C Bank Jhabua 50200060244460,Rajendra Kumar Shetanmal Kothari Rajghad,909395.86,UTIBN62025051493909420
15-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025051493909,Receipt,,18745.00,18745.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,928140.86,UTIBN62025051504305870
16-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025051504305,Receipt,,10170.00,10170.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,938310.86,UTIBN62025051614293210
16-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025051614293 SELF-CHQPAID-JOBAT,Contra,700000.00,,700000.00,H D F C Bank Jhabua 50200060244460,Cash,238310.86,0000000000000145
17-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI,Receipt,,3075.00,3075.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,241385.86,UTIBN62025051725
17-05-2025,TED-PAYMENTAGGREGATOR,Receipt,,9970.46,9970.46,H D F C Bank Jhabua 50200060244460,A,251356.32,423085
18-05-2025,ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025051725423,Receipt,,5480.00,5480.00,H D F C Bank Jhabua 50200060244460,A,256836.32,0000000000001624
19-05-2025,CHQDEP-MICR8CLEARING-ALIRAJPUR:V IRENDRAKUMAR:IDBIBANK,Receipt,,2795.00,2795.00,H D F C Bank Jhabua 50200060244460,A,259631.32,UTIBN62025051835231869
20-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025051835231,Receipt,,8995.00,8995.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,268626.32,UTIBN62025051943700775
20-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025051943700,Payment,35653.00,,35653.00,H D F C Bank Jhabua 50200060244460,A,232973.32,UTIBN62025052053521807
20-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025052053521 ACHD-AXISBANK-682B21F92958478A26633E7,Payment,71854.00,,71854.00,H D F C Bank Jhabua 50200060244460,Axis Bank Ltd,161119.32,0000008673951129
21-05-2025,IMPS-514020375094-MANISHKOTHARIJHABUA 2-HDFC-XXXXXXXXXX8507-BILL,Receipt,,14145.00,14145.00,H D F C Bank Jhabua 50200060244460,Manish Kothari,175264.32,0000514020375094
22-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025052163297,Receipt,,7945.00,7945.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,183209.32,UTIBN62025052163297488
23-05-2025,UMARRATANLAL,Receipt,,1390.00,1390.00,H D F C Bank Jhabua 50200060244460,A,184599.32,UTIBN62025052383050847
23-05-2025,GANDHI-UTIBN62025052273325,Receipt,,300000.00,300000.00,H D F C Bank Jhabua 50200060244460,A,484599.32,000000000000000
23-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025052383050,Receipt,,10000.00,10000.00,H D F C Bank Jhabua 50200060244460,Phone Pyee,494599.32,000000000000000
23-05-2025,CASHDEPOSITBY-SELF-JOBAT,Contra,,91200.00,91200.00,H D F C Bank Jhabua 50200060244460,Cash,585799.32,ICICN42025052357983724
24-05-2025,CASHDEPOSITBY-SELF-JHABUA,Contra,,18005.00,18005.00,H D F C Bank Jhabua 50200060244460,Cash,603804.32,UTIBN62025052494706589
25-05-2025,NEFTCR-ICIC0SF0002-RAJENDRAKUMARSHAIT ANMAL KOTHARI-VIRENDRA-ICICN420250523579 83724,Receipt,,1500.00,1500.00,H D F C Bank Jhabua 50200060244460,Rajendra Kumar Shetanmal Kothari Rajghad,605304.32,UTIBN62025052503548752
25-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025052494706,Payment,50250.00,,50250.00,H D F C Bank Jhabua 50200060244460,A,555054.32,HDFCN52025052552589525
25-05-2025,NEFTCR-UTIB0001506-PHONEPEPRIVATELIMI TED-PAYMENTAGGREGATOR ESCROW-VIRENDRAK UMARRATANLAL GANDHI-UTIBN62025052503548,Payment,200000.00,,200000.00,H D F C Bank Jhabua 50200060244460,A,355054.32,HDFCN52025052552585356
26-05-2025,"NEFTDR-SBIN0030418-JAYANTRAJMARKETING INDORE-NETBANK, MUM-HDFCN520250525525895 25-BILL",Receipt,,12365.00,12365.00,H D F C Bank Jhabua 50200060244460,Jayant Raj Marketing Indore1,367419.32,UTIBN62025052611684544
26-05-2025,UMARRATANLAL,Receipt,,7800.00,7800.00,H D F C Bank Jhabua 50200060244460,A,375219.32,0000000000697738
27-05-2025,GANDHI-UTIBN62025052611684,Receipt,,4180.00,4180.00,H D F C Bank Jhabua 50200060244460,A,379399.32,UTIBN62025052721483992
